,model,price,available,time_period,area,floor,amenity,image
0,1 Bed / 1 Bath,"2,064",3/4/2021,12 mo,726,3,"['Bay Window', 'Modern Kitchen Features']",https://media.equityapartments.com/image/upload/f_auto/2434-FP-72087-1-1-726.eps
1,1 Bed / 1 Bath,"2,214",4/6/2021,12 mo,726,3,"['Bay Window', 'Modern Kitchen Features']",https://media.equityapartments.com/image/upload/f_auto/2434-FP-72087-1-1-726.eps
2,1 Bed / 1 Bath,"2,308",3/4/2021,12 mo,726,5,"['Bay Window', 'Hardwood Floors', 'Modern Kitchen Features', 'View of Manhattan']",https://media.equityapartments.com/image/upload/f_auto/2434-FP-72087-1-1-726.eps
3,1 Bed / 1 Bath,"2,360",4/24/2021,12 mo,726,6,"['Bay Window', 'Hardwood Floors', 'Modern Kitchen Features', 'View of Manhattan']",https://media.equityapartments.com/image/upload/f_auto/2434-FP-383245-1-1-726.eps
4,1 Bed / 1 Bath,"2,463",3/4/2021,12 mo,726,6,"['Bay Window', 'Hardwood Floors', 'Modern Kitchen Features', 'View of Manhattan']",https://media.equityapartments.com/image/upload/f_auto/2434-FP-383245-1-1-726.eps
5,1 Bed / 1 Bath,"2,524",3/4/2021,12 mo,824,2,"['Kitchen Window', 'Marina and Statue of Liberty View', 'Modern Kitchen Features', 'Private Terrace']",https://media.equityapartments.com/image/upload/f_auto/2434-FP-72088-1-1-824.eps
6,1 Bed / 1 Bath,"2,663",3/4/2021,12 mo,931,NA,"['Kitchen Window', 'Modern Kitchen Features']",https://media.equityapartments.com/image/upload/f_auto/2434-FP-72087-1-1-726.eps
7,2 Bed / 2 Bath,"3,168",3/4/2021,12 mo,1213,NA,"['Hardwood Floors', 'Kitchen Window', 'Modern Kitchen Features']",https://media.equityapartments.com/image/upload/f_auto/2434-FP-72091-2-2-1213.eps
8,2 Bed / 2 Bath,"3,222",4/15/2021,12 mo,1109,Floorplan,"['Large Private Terrace', 'Modern Kitchen Features']",https://media.equityapartments.com/image/upload/f_auto/2434-FP-72089-2-2-1109.eps
9,2 Bed / 2 Bath,"3,227",3/25/2021,12 mo,1109,2,"['Large Private Terrace', 'Modern Kitchen Features']",https://media.equityapartments.com/image/upload/f_auto/2434-FP-72089-2-2-1109.eps
10,2 Bed / 2 Bath,"3,232",4/2/2021,12 mo,1109,Floorplan,"['Large Private Terrace', 'Modern Kitchen Features']",https://media.equityapartments.com/image/upload/f_auto/2434-FP-72089-2-2-1109.eps
11,2 Bed / 2 Bath,"3,368",3/31/2021,12 mo,1213,3,"['Corner Unit', 'Kitchen Window', 'Modern Kitchen Features']",https://media.equityapartments.com/image/upload/f_auto/2434-FP-72091-2-2-1213.eps
12,2 Bed / 2 Bath,"3,474",3/7/2021,12 mo,1350,NA,"['Modern Kitchen Features', 'Townhouse']",https://media.equityapartments.com/image/upload/f_auto/2434-FP-73707-2-2-1350.eps
