,Title,Speaker,Release Date,Likes,Dislikes,Views
0,How to foster true diversity and inclusion at work (and in your community),Rosalind G. Brewer,"Dec 22, 2020",646,943,"34,894"
1,Why monkeys (and humans) are wired for fairness,Sarah Brosnan,"Dec 21, 2020","1,840",88,"44,702"
2,A stellar history of modern astronomy,Emily Levesque,"Dec 18, 2020","1,669",46,"58,948"
3,An aerialist on listening to your body's signals,Adie Delaney,"Dec 17, 2020","1,601",40,"40,475"
4,A playful exploration of gender performance,Jo Michael Rezes,"Dec 15, 2020",380,112,"21,306"
5,Could we treat spinal cord injuries with asparagus?,Andrew Pelling,"Dec 11, 2020","2,037",48,"51,526"
6,How quinoa can help combat hunger and malnutrition,Cedric Habiyaremye,"Dec 10, 2020","1,895",24,"36,517"
7,A magical mantra for nurturing a blissful life,JayaShri Maathaa,"Dec 9, 2020","1,445",95,"37,004"
8,What it takes to crush a pandemic,Johanna Benesty,"Dec 8, 2020","1,177",142,"40,574"
9,The mood-boosting power of crying,Kathy Mendias,"Dec 7, 2020","1,229",116,"38,020"
10,Fossil fuel companies know how to stop global warming. Why don't they?,Myles Allen,"Dec 4, 2020","2,502",174,"61,755"
11,"To future generations of women, you are the roots of change",Gloria Steinem,"Dec 3, 2020","1,341",379,"39,284"
12,How the new generation of Latinx voters could change US elections,María Teresa Kumar,"Dec 2, 2020",116,83,"8,714"
13,How COVID-19 human challenge trials work -- and why I volunteered,Sophie Rose,"Dec 1, 2020","1,024",154,"38,823"
14,The city planting a million trees in two years,Yvonne Aki-Sawyerr,"Nov 30, 2020","1,679",31,"34,174"
15,"How to come out at work, about anything","The Way We Work, a TED series","Nov 30, 2020",987,259,"34,237"
16,How we can use the hiring process to bring out the best in people,"The Way We Work, a TED series","Nov 28, 2020","1,708",44,"51,446"
17,How reverse mentorship can help create better leaders,"The Way We Work, a TED series","Nov 28, 2020","1,333",147,"46,626"
18,How working couples can best support each other,"The Way We Work, a TED series","Nov 27, 2020","1,506",75,"55,600"
19,I stepped out of grief -- by dancing with fire,Danielle Torley,"Nov 26, 2020","1,252",74,"39,952"
20,"Theranos, whistleblowing and speaking truth to power",Erika Cheung,"Nov 25, 2020","2,120",64,"62,605"
21,If trees could speak,Elif  Shafak,"Nov 24, 2020","3,021",144,"60,279"
22,How to be fearless in the face of authoritarianism,Sviatlana Tsikhanouskaya,"Nov 23, 2020","4,732",275,"72,103"
23,What crows teach us about death,Kaeli Swift,"Nov 23, 2020","2,290",119,"70,605"
24,How to foster productive and responsible debate,Ishan Bhabha,"Nov 19, 2020",941,74,"40,898"
25,Kids are speaking up for the environment. Let's listen,Olafur Eliasson,"Nov 19, 2020","1,123",252,"30,966"
26,How to decarbonize the grid and electrify everything,John Doerr and Hal Harvey,"Nov 19, 2020","3,909",180,"94,252"
27,The power of venom -- and how it could one day save your life,Mandë Holford,"Nov 17, 2020","1,212",37,"33,606"
28,Climate change is becoming a problem you can taste,Amanda Little,"Nov 16, 2020","2,979",428,"80,200"
29,"""Shadow""",Kesha,"Nov 16, 2020","16,180",278,"202,893"
30,How India could pull off the world's most ambitious energy transition,Varun Sivaram,"Nov 16, 2020","2,808",154,"55,627"
31,Why children stay silent following sexual violence,Kristin Jones,"Nov 13, 2020","3,423",113,"79,280"
32,How to reduce the wealth gap between Black and white Americans,Kedra Newsom Reeves,"Nov 12, 2020","1,119","1,188","38,200"
33,"To save the climate, we have to reimagine capitalism",Rebecca Henderson,"Nov 11, 2020","2,820",530,"52,106"
34,"How businesses can serve everyone, not just shareholders",Dame Vivian Hunt,"Nov 10, 2020",975,144,"37,026"
35,The energy Africa needs to develop -- and fight climate change,Rose M. Mutiso,"Nov 9, 2020","1,601",143,"33,242"
36,"""Fight For You""",Raye Zaragoza,"Nov 6, 2020","1,445",112,"44,931"
37,Racism thrives on silence -- speak up!,Dexter Dias,"Nov 5, 2020",919,668,"32,465"
38,Lessons on leaving the world better than you found it,Sophie Howe,"Nov 5, 2020","1,573",69,"42,517"
39,24 hours on Earth -- in one image,Stephen Wilkes,"Nov 4, 2020","3,630",57,"82,540"
40,The radical act of choosing common ground,Nisha Anand,"Nov 2, 2020","1,555",115,"57,173"
41,How your unique story can get you hired,"The Way We Work, a TED series","Nov 2, 2020","2,186",118,"65,921"
42,The secret to being a successful freelancer,"The Way We Work, a TED series","Nov 2, 2020","5,554",97,"111,529"
43,3 steps to stop remote work burnout,"The Way We Work, a TED series","Nov 2, 2020","2,281",73,"79,819"
44,How to lead in a crisis,"The Way We Work, a TED series","Nov 1, 2020","1,469",65,"47,753"
45,The lie that invented racism,John Biewen,"Nov 1, 2020","13,511","3,704","392,117"
46,"""True Love"" / ""Africa""",Yemi Alade,"Oct 30, 2020","1,318",157,"49,533"
47,The state of the climate crisis,Climate Action Tracker,"Oct 29, 2020","4,677",520,"105,999"
48,The case for stubborn optimism on climate,Christiana Figueres,"Oct 29, 2020","1,013",130,"25,873"
49,What kids can teach adults about asking for help,YeYoon Kim,"Oct 28, 2020","1,309",47,"34,006"
50,Why we must confront the painful parts of US history,Hasan Kwame Jeffries,"Oct 28, 2020","1,525",314,"36,207"
51,"An illustrated kingdom of real, fantastical plants",Nirupa Rao,"Oct 27, 2020","1,624",32,"40,013"
52,Civilization on the Moon -- and what it means for life on Earth,Jessy Kate Schingler,"Oct 27, 2020","1,785",161,"47,125"
53,What if a US presidential candidate refuses to concede after an election?,Van Jones,"Oct 26, 2020","144,231","15,129","4,841,605"
54,"""Luna Negra"" / ""Carita de Inocente"" / ""Corazón Sin Cara"" / ""Darte un Beso""",Prince Royce,"Oct 23, 2020","1,042",104,"45,107"
55,How to be a good ancestor,Roman Krznaric,"Oct 23, 2020","1,193",101,"36,503"
56,A global movement to solve global problems,Colombe Cahen-Salvador,"Oct 22, 2020","1,424",244,"38,105"
57,On time and water,Andri Snær Magnason,"Oct 22, 2020","1,423",34,"35,699"
58,How humanity can reach the stars,Philip Lubin,"Oct 21, 2020","1,439",50,"41,829"
59,Apple's promise to be carbon neutral by 2030,Lisa Jackson and Liz Ogbu,"Oct 21, 2020",721,385,"29,323"
60,"If you adults won't save the world, we will",Xiye Bastida,"Oct 20, 2020","2,035",696,"46,642"
