,model,price,available,time_period,area,floor,amenity,image
0,1 Bed / 1 Bath,"2,485",5/1/2021,12 mo,961,1,['Renovated'],https://media.equityapartments.com/image/upload/f_auto/2539-FP-73829-1-1-961.eps
1,1 Bed / 1 Bath,"2,513",3/4/2021,12 mo,712,6,"['Balcony', 'Partial View of Hudson River', 'Renovated']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-73830-1-1-712.eps
2,1 Bed / 1 Bath,"2,552",3/4/2021,12 mo,741,7,"['Juliet Balcony', 'Renovated', 'View of Hudson River']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-383456-1-1-741.eps
3,1 Bed / 1 Bath,"2,557",3/4/2021,12 mo,703,5,"['Balcony', 'Renovated', 'View of Hudson River']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-72775-1-1-703.eps
4,1 Bed / 1 Bath,"2,573",3/24/2021,12 mo,703,4,"['Balcony', 'Renovated']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-72775-1-1-703.eps
5,1 Bed / 1 Bath,"2,583",5/19/2021,12 mo,741,7,"['Juliet Balcony', 'Renovated']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-383456-1-1-741.eps
6,1 Bed / 1 Bath,"2,625",3/4/2021,12 mo,741,4,"['Balcony', 'Renovated']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-72784-1-1-741.eps
7,1 Bed / 1 Bath,"2,651",5/11/2021,12 mo,741,6,"['Balcony', 'Renovated']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-72784-1-1-741.eps
8,1 Bed / 1 Bath,"2,651",5/13/2021,12 mo,741,6,"['Balcony', 'Renovated']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-72784-1-1-741.eps
9,1 Bed / 1 Bath,"2,763",3/30/2021,12 mo,741,NA,"['Patio', 'Renovated']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-72784-1-1-741.eps
10,1 Bed / 1 Bath,"2,934",3/4/2021,12 mo,889,4,"['Balcony', 'Extra Den Space with Door', 'Renovated', 'View of Hudson River']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-72797-1-1-889.eps
11,1 Bed / 1 Bath,"2,938",4/28/2021,12 mo,984,5,"['Extra Den Space with Door', 'Renovated', 'View of Hudson River']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-00379368-1-1-984.eps
12,2 Bed / 2 Bath,"3,498",3/22/2021,12 mo,1211,5,"['Balcony', 'Renovated']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-73202-2-2-1211.eps
13,2 Bed / 2 Bath,"3,588",6/17/2021,12 mo,1211,5,"['Balcony', 'Renovated']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-73202-2-2-1211.eps
14,2 Bed / 2 Bath,"3,594",3/27/2021,12 mo,1211,5,"['Balcony', 'Renovated', 'View of NYC Skyline and Midtown']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-73202-2-2-1211.eps
15,2 Bed / 2 Bath,"3,734",4/9/2021,12 mo,1280,1,"['Balcony', 'Renovated']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-73205-2-2-1280.eps
16,2 Bed / 2 Bath,"3,939",4/2/2021,12 mo,1300,5,"['Patio', 'Renovated', 'View of Hudson River']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-72824-2-2-1332.eps
17,2 Bed / 2 Bath,"3,970",4/29/2021,12 mo,1252,3,"['Granite Kitchen Island', 'Patio', 'Renovated', 'View of NYC Skyline and Midtown']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-73203-2-2-1252.eps
18,2 Bed / 2 Bath,"4,882",4/8/2021,12 mo,1320,4,"['Balcony', 'End Unit', 'Private Terrace', 'Renovated', 'View of NYC Skyline and Midtown']",https://media.equityapartments.com/image/upload/f_auto/2539-FP-72822-2-2-1320.eps
