,Apartment Name,Number of Bedroom,Number of Bathroom,Area,Price,Amenity,Term,Image
0,A-Line Floor4,3,2,1319,Contact Us,+Terrace,There are currently no lease terms set for this unit.,https://vinehoboken.com/assets/images/floorplan_detail_ALineFloor4.svg
1,B Line Floor 4,1,1,Sq.,Contact Us,+Terrace,There are currently no lease terms set for this unit.,https://vinehoboken.com/assets/images/floorplan_detail_BLineFloor4.svg
2,Residence 13,1,1,850,Contact Us,+Terrace,There are currently no lease terms set for this unit.,https://vinehoboken.com/assets/images/floorplan_detail_CLineFloor4.svg
3,Residence 14,1,1,1495,Contact Us,+Den & Terrace,There are currently no lease terms set for this unit.,https://vinehoboken.com/assets/images/floorplan_detail_ELineFloor3.svg
4,F Line Floor 3,2,2,Sq.,Contact Us,+Terrace,There are currently no lease terms set for this unit.,https://vinehoboken.com/assets/images/floorplan_detail_FLineFloor3.svg
5,F Line Floor 4,2,2,Sq.,Contact Us,Sq. Ft.,There are currently no lease terms set for this unit.,https://vinehoboken.com/assets/images/floorplan_detail_FLineFloor4.svg
6,Residence 10,1,1,902,Contact Us,+Den,There are currently no lease terms set for this unit.,https://vinehoboken.com/assets/images/floorplan_detail_FLineFloors5-11.svg
7,G Line Floor 3,3,2,Sq.,Contact Us,+Terrace,There are currently no lease terms set for this unit.,https://vinehoboken.com/assets/images/floorplan_detail_GLineFloor3.svg
8,Residence 09,3,2,1342,Contact Us,1342 Sq. Ft.,There are currently no lease terms set for this unit.,https://vinehoboken.com/assets/images/floorplan_detail_GLineFloors4-11.svg
9,Residence 11,1,1,754,Contact Us,754 Sq. Ft.,There are currently no lease terms set for this unit.,https://vinehoboken.com/assets/images/floorplan_detail_HLineFloor3.svg
10,Residence 08,1,1,754,Contact Us,754 Sq. Ft.,There are currently no lease terms set for this unit.,https://vinehoboken.com/assets/images/floorplan_detail_HLineFloors4-11.svg
11,I Line Floor 3,2,2,Sq.,Contact Us,Sq. Ft.,There are currently no lease terms set for this unit.,https://vinehoboken.com/assets/images/floorplan_detail_ILineFloor3.svg
12,Residence 07,2,2,1096,Contact Us,1096 Sq. Ft.,There are currently no lease terms set for this unit.,https://vinehoboken.com/assets/images/floorplan_detail_ILineFloors4-11.svg
13,J Line Floor 4,2,2,Sq.,Contact Us,+Terrace,There are currently no lease terms set for this unit.,https://vinehoboken.com/assets/images/floorplan_detail_JLineFloor4.svg
