,Apartment Name,Number of Available Apartments,Number of Bedroom,Number of Bathroom,Area,Minimum Rent,Maximum Rent,Deposit,Description,Image
0,Asbury,9,1,1,719,"$2,615","$4,305","$1,000","If you are looking for great natural light, then the Asbury is perfect for you.  This floor plan features floor to ceiling glass doors in the bedroom ...as well as a balcony.
Read more","https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/asbury.jpg"
1,Alexander,3,1,1,712,"$2,565","$3,790","$1,000",The Alexander is perfect if you're looking for an open and bright living environment.  This home features either bay windows or a Juliet balcony.,"https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/alexander.jpg"
9,Bishop,3,2,2,"1,071","$3,800","$5,730","$1,000","Our Bishop apartment homes features 2-bedrooms and 2-bathrooms, each with large walk-in closets for the person that needs extra storage.","https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/bishop.jpg"
10,Ashton Penthouse,2,2,2,"1,057","$3,825","$5,730","$1,000","The Ashton Penthouse duplex-styled apartment features large 2-bedrooms and 2-bathrooms, with oversized walk-in closets and a large linen closet.","https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/ashton p.jpg"
11,Beacon Loft,2,2,2,"1,506","$4,775","$7,090","$1,000","The Beacon Loft is one of our largest, most spacious apartment homes providing you with an amazing amount of light and a bonus room.","https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/beacon loft.jpg"
3,Ashton,1,1,1,774,"$2,535","$3,760","$1,000",The Ashton is perfect if you're looking for a spacious one bedroom that offers lots of storage.,"https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/ashton.jpg"
4,Baldwin,1,1,1,923,"$3,225","$4,600","$1,000","Our Baldwin apartment features 1-bedroom, 1-bathroom, plus a 10 x 10 den for a guest room or home office.","https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/baldwin.jpg"
2,Astor,1,1,1,716,"$2,820","$4,195","$1,000","Perfect one-bedroom for the resident looking for a home work space!  This spacious floor plan features an alcove off of the living room that is perfec...t for your home office.
Read more","https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/lh a_3.jpg"
14,Bainbridge Penthouse,1,3,2,"1,215","$4,910","$6,715","$1,000",Beautiful three bedroom penthouse!,"https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/lh b_3loft.jpg"
15,Baldwin Penthouse,1,3,2,"1,228","$5,085","$8,310","$1,000",Our Baldwin Penthouse is a luxurious duplex-styled home that is a 2-bedroom/2-bathroom with a den that could serve as a 3rd bedroom or home office.,"https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/baldwin p.jpg"
16,Cambridge,1,3,2,"1,340","$5,060","$6,865","$1,000","Our 3-bedroom, 2-bathroom Cambridge apartment home has a luxurious feeling with an oversized kitchen with island, open living /dining rooms and additi...onal closet space.
Read more","https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/cambridge.jpg"
5,Andrew,0,1,1,697,NA,NA,"$1,000",The Andrew is our coziest apartment available and features a great work from home built-in desk.,"https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/a_1n.jpg"
6,Abington,0,1,1,750,NA,NA,"$1,000",The Abington features a large kitchen with plentiful cabinet space for storage.,"https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/a_5c.jpg"
7,Avonleigh,0,1,1,929,NA,NA,"$1,000","This unique 1-bedroom, 2-bath floor plan features a spacious living room, large master bedroom, and a bonus den area perfect for a home office or gues...t room.
Read more","https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/lh a_6(1).jpg"
8,Bainbridge,0,1,1,932,NA,NA,"$1,000","Our Bainbridge apartments feature 1-bedroom, 1-bathroom, plus a den.","https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/lh b_3.jpg"
12,Asbury Penthouse,0,2,2,956,NA,NA,"$1,000","The Asbury Penthouse is a two floor 2-bedroom, 2-bathroom apartment home with gorgeous vaulted ceilings.","https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/asbury penthouse.jpg"
13,Trecastle,0,2,2.5,"1,237",NA,NA,"$1,000","The Trecastle townhome styled floor plan is the most popular apartment home featuring a fireplace, 2 1/2 bathrooms, and open kitchen with a pantry.","https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/trecastle.jpg"
17,Barrington Penthouse,0,3,2,"1,241",NA,NA,"$1,000","Our Barrington Penthouse is a luxurious duplex-styled home that is a 2-bedroom, 2-bathroom with a den that could serve as a third bedroom or home offi...ce.
Read more","https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/lh b_2loft.jpg"
18,Bishop Penthouse,0,3,2,"1,392",NA,NA,"$1,000","The Bishop Penthouse, a 2-bedroom/2-bath duplex-style apartment, offers a wonderful, open living space with a large kitchen with pantry, oversized den..., 3 large walk-in closets, full sized washer and dryer.
Read more","https://res.cloudinary.com/yardi/image/upload/f_auto,q_auto/s3/3/422071/bishop penthouse.jpg"
